DATE,Base: Total ($ Mil),Base: Currency in Circulation ($ Mil),IOER (%),EFFR (%),Bank Prime Loan Rate (%),Expected Inflation (%),Inflation (%),Consumer Price Index for All Urban Consumers,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in U.S. City Average,Manufacturing Workweek (Hours),Construction Workweek (Hours),Consumer Sentiment (Index),Personal Income ($B),Personal current transfer payments,Real Disposable Personal Income ($B),Nonfinancial Corporate Business: Profits After Tax ($B),Durable Goods Orders (millions),Personal Consumption Expenditures (Index),Chicago Fed National Financial Conditions Index (Index),S&P 500 Stock Price Index ($),recessions,Corporate Profits After Tax ($B),4-Week Moving Average of Initial Claims,Median Weeks Unemployed (Weeks),Labor Force Participation Rate (%),"Total Unemployed, Plus All Persons Marginally Attached to the Labor Force, Plus Total Employed Part Time for Economic Reasons, as a Percent of the Civilian Labor Force Plus All Persons Marginally Attached to the Labor Force (%)",Unemployment Rate (%),Hires: Total Nonfarm,"All Employees, Total Nonfarm (Thousands of Persons)","Compensation of Employees, Received: Wage and Salary Disbursements ($B)",New Private Housing Units Authorized by Building Permits,Industrial Production: Total Index,Manufacturers New Orders:,Real Gross Domestic Product ($B),Chicago Fed National Activity Index,US All Grades All Formulations Gas Price ($ per Gallon),Retail Sales: Retail and Food Services (Millions ($)),"Commercial and Industrial Loans, All Commercial Banks ($B)","Total Consumer Credit Owned and Securitized, Outstanding ($B)",Total Business: Inventories to Sales Ratio,Business Sector: Unit Labor Cost,Federal Debt: Total Public Debt ($M),"Households and Nonprofit Organizations; Debt Securities and Loans; Liability, Level ($B)",M2 Money Stock ($B),Velocity of M2 Money Stock
2019-01-31,3348160.2,1709064.8,2.4000000000000004,2.4000000000000004,5.5,1.793809523809524,252.55,446.0,260.122,42.0,39.9,91.2,18303.5,209.6,14840.9,1031.8980000000001,250492.0,109.042,0.3138725,2607.3900000000003,0.0,1894.3670000000002,220000.0,9.0,63.2,8.0,4.0,5834,150134,9169.4,1316.0,110.1185,66454.0,18950.346999999998,-0.03,2.338,505036,2321.2736,4009.67837,1.4,111.116,22027880.0,15585.313999999998,14432.175000000001,1.459
2019-02-28,3350748.5,1707784.5,2.3999999999999995,2.3999999999999995,5.5,1.8768421052631585,253.18099999999998,448.15,261.11400000000003,41.7,38.8,93.8,18370.0,209.9,14864.1,,242267.0,,0.35425,2754.8642105263148,,,225375.0,9.4,63.1,7.2,3.8,5703,150135,9228.0,1305.0,109.5631,65816.0,,-0.36,2.3930000000000002,504686,2328.6361,3994.67229,1.4,,,,14461.075,
2019-03-31,3388656.5,1719262.5,2.4000000000000004,2.4051612903225803,5.5,1.9128571428571433,254.095,448.471,261.836,41.7,39.4,98.4,18426.7,210.1,14855.7,,252004.0,,0.39760399999999996,2803.9838095238097,,,220500.0,9.5,63.0,7.4,3.8,5689,150282,9288.5,1327.0,109.6811,67379.0,,0.03,2.594,512602,2339.574,3988.5108200000004,1.38,,,,14501.075,
2019-04-30,3312633.5,1726409.0,2.4,2.4236666666666666,5.5,1.9366666666666668,254.94299999999998,448.658,262.332,41.6,39.2,97.2,18459.1,210.1,14817.2,1045.563,240268.0,109.726,0.4428925,2903.7999999999993,0.0,1938.8929999999998,211562.5,9.3,62.8,7.3,3.6,6000,150492,9277.7,1330.0,108.9888,66092.0,19020.599,-0.64,2.8810000000000002,515088,2335.4875,4008.5083299999997,1.39,110.964,22023283.0,15743.243999999999,14555.84,1.454
2019-05-31,3235396.8,1732333.2,2.351612903225807,2.3909677419354844,5.5,1.8263636363636364,255.167,449.89599999999996,262.59,41.5,39.1,100.0,18474.2,210.3,14809.6,,236720.0,,0.496962,2854.705909090909,,,221250.0,9.1,62.9,7.2,3.6,5687,150577,9264.6,1338.0,109.2264,65051.0,,-0.04,2.946,516913,2338.8191,4032.3782,1.4,,,,14642.150000000001,
2019-06-30,3282619.0,1738510.5,2.3500000000000005,2.3776666666666677,5.5,1.7,255.40200000000002,449.345,263.177,41.6,39.3,98.2,18509.4,210.5,14826.8,,236884.0,,0.56159,2890.1659999999997,,,219200.0,9.4,63.0,7.2,3.7,5760,150759,9282.3,1273.0,109.2774,66439.0,,0.15,2.804,518397,2346.1829,4040.94801,1.39,,,,14764.074999999999,
2019-07-31,3255978.4,1746192.0,2.35,2.402903225806451,5.5,1.752727272727273,256.087,451.709,263.566,41.5,39.1,98.4,18531.1,209.5,14840.3,1026.513,242842.0,110.10799999999999,0.6257075,2996.1136363636365,0.0,1920.338,216625.0,9.0,63.0,6.9,3.7,5975,150953,9280.2,1366.0,109.0852,66224.0,19141.744,-0.24,2.823,521831,2357.076,4063.25417,1.39,110.87799999999999,22719402.0,15868.848,14853.539999999999,1.442
2019-08-31,3275209.0,1749115.5,2.1000000000000005,2.125806451612903,5.25,1.5863636363636362,256.29400000000004,453.074,264.16900000000004,41.5,39.4,89.8,18616.6,209.7,14912.4,,244018.0,,0.70107,2897.498181818182,,,215450.0,9.0,63.2,7.2,3.7,5839,151160,9323.8,1471.0,109.8543,65864.0,,0.16,2.707,524477,2373.3587,4104.230570000001,1.39,,,,14925.45,
2019-09-30,3197323.5,1762662.0,1.9799999999999993,2.0429999999999997,5.15,1.5870000000000002,256.593,453.19300000000004,264.522,41.5,39.7,93.2,18645.1,209.9,14933.6,,241713.0,,0.7790125,2982.156,,,213437.5,9.4,63.2,6.9,3.5,5959,151368,9329.9,1437.0,109.4725,65769.0,,-0.33,2.681,521030,2370.0226,4117.4641,1.4,,,,15015.7,
2019-10-31,3251883.4,1770106.0,1.7919354838709667,1.8296774193548386,4.99,1.5609090909090908,257.22900000000004,455.225,265.059,41.4,39.3,95.5,18693.6,211.9,14936.2,1091.854,241557.0,110.529,0.85344,2977.675217391304,1.0,2000.736,215000.0,9.2,63.3,6.9,3.6,5757,151553,9379.1,1503.0,109.027,65954.0,19253.959,-0.41,2.7239999999999998,523587,2361.103,4132.065070000001,1.4,111.35,23201380.0,16001.425,15143.1,1.4269999999999998
